,Products,depths,Solved
318,Clc1ccc2cccc(Br)c2c1,0.0,True
319,Fc1ccc(Cl)c(C(F)(F)F)c1F,0.0,True
320,Cc1c(Br)cc2ccccc2c1C,1.0,True
321,CC(C)Oc1ccc(Br)c(OC(F)F)c1,1.0,True
322,Fc1c(Br)cccc1I,0.0,True
323,CC(C)c1cccc(C(F)(F)F)c1Oc1ccccc1I,1.0,True
324,Cc1c(I)ccc2ccccc12,0.0,True
325,CC(C)Oc1ccc(COc2ccccc2I)cc1,1.0,True
326,COc1c(I)cccc1C(F)(F)F,0.0,True
328,COc1cccc(I)c1OCCc1ccc(Cl)c(Cl)c1,1.0,True
329,Clc1c(Br)cccc1Oc1ccccc1,1.0,True
330,Cc1cc(F)cc(F)c1Oc1ccccc1I,1.0,True
331,CCCCc1ccccc1Oc1ccccc1Br,1.0,True
333,FC(F)Oc1ccccc1OCc1ccncc1Br,1.0,True
334,COc1ccc(Oc2ccccc2Cl)nc1,1.0,True
335,COc1cc2[nH]ccc2cc1Br,0.0,True
336,CCc1ccccc1Cl,0.0,True
1596,FC(F)(F)COc1ccc(Cl)c(OC(F)(F)F)c1Cl,1.0,True
338,Clc1ccccc1Oc1cccc(Cn2cccn2)c1,1.0,True
340,Fc1ccc(Oc2cccc(I)c2F)cc1,1.0,True
341,CCCC(C)Oc1ccccc1I,1.0,True
342,Clc1ccc(OCc2ccccc2)c(Cl)c1,0.0,True
343,Nc1ccc(I)c2ccccc12,0.0,True
344,COc1ccc(Cl)cc1Br,0.0,True
345,CCCOc1cccc(Br)c1OC(F)(F)F,1.0,True
346,Clc1cccc(CCOc2ccccc2I)c1,1.0,True
348,OCC(F)(F)COc1ccccc1I,1.0,True
349,FCCCOc1ccc(Oc2ccccc2Cl)c(C(F)(F)F)c1,2.0,True
350,Nc1cccc(Cl)c1OC(F)(F)F,0.0,True
351,FC(F)(F)Oc1c(Cl)ccc(C(F)(F)F)c1Cl,1.0,True
352,FC(F)(F)c1cccc(COc2ccc(Cl)cc2I)c1,1.0,True
353,Clc1ccccc1OCCn1ccc2cc(Br)ccc21,1.0,True
354,CCc1ccc(-c2ccccc2Br)cc1,1.0,True
355,Clc1cc(Cl)cc(COc2ccccc2Br)c1,1.0,True
356,COc1c(Cl)cccc1OC(F)(F)F,0.0,True
357,CCCC1(COc2ccccc2Br)CCCCC1,1.0,True
358,Cc1cccc(I)c1,0.0,True
359,Clc1cccc(Oc2c(Cl)cccc2Br)c1Cl,1.0,True
360,CCCCOc1ccc(Oc2c(O)cccc2I)cc1,1.0,True
361,CC(C)(c1ccccc1Oc1ccccc1Br)C(F)(F)F,2.0,True
362,Oc1cccc(Cl)c1OC(F)F,0.0,True
363,Fc1cccc(Oc2ccc(F)c(Br)c2)c1,1.0,True
364,CC(C)c1ccc(Oc2ccccc2I)cc1,1.0,True
365,COc1c(I)ccc2ccc(Cl)cc12,1.0,True
366,CCCOc1c(Cl)cccc1CC,1.0,True
367,Ic1ccccc1OCCCc1cccnc1,1.0,True
368,FC(F)(F)Oc1ccc(Oc2ccccc2Cl)cc1,1.0,True
369,O=c1ccc2cccc(Br)c2s1,2.0,True
4923,COc1cccc(Br)c1-c1ccccc1,0.0,True
1386,Clc1cncc(Nc2ccccc2)n1,0.0,True
372,Cc1cccc(C(F)(F)F)c1Oc1ccccc1Br,1.0,True
373,Cc1cc(Cl)c2c(Br)cccc2c1,1.0,True
374,Clc1ccccc1OC1CCC1,0.0,True
375,Oc1ccc(Br)c(O)c1,0.0,True
376,Clc1cc(Br)ccc1OCCc1ccccc1,1.0,True
377,FC(F)Oc1ccc(OC(F)(F)F)cc1I,0.0,True
378,Cc1cc(Br)c2ccccc2c1,0.0,True
379,COc1cccc(F)c1Oc1c(Br)cccc1OC,1.0,True
380,CCCOc1ccc(Oc2ccccc2I)cc1F,1.0,True
381,Fc1cc(Cl)cc(Cl)c1Oc1ccccc1Br,1.0,True
382,Brc1ncccc1-c1ccccc1,0.0,True
383,Fc1c(Cl)cccc1OC(F)F,0.0,True
384,FC(F)(F)c1cc(COc2ccccc2I)ccc1Cl,1.0,True
385,CC(C)(C)c1cccc(COc2ccccc2Cl)c1,1.0,True
386,Cc1cccc(C)c1CCOc1ccccc1Cl,1.0,True
387,COc1cc(OC)cc(Oc2ccccc2Cl)c1,1.0,True
388,CC1(COc2ccccc2I)CCCc2ccccc21,1.0,True
391,Clc1ccc(CCOc2ccccc2Br)cc1Cl,1.0,True
392,NC(=O)c1c(F)ccc(Cl)c1F,0.0,True
393,CC(C)Oc1cc(Cl)ccc1Br,0.0,True
395,Clc1ccccc1COc1ccccc1Oc1ccccc1I,1.0,True
396,CCc1ccccc1COc1ccc(Br)c(OC)c1,1.0,True
397,Cc1ncccc1I,0.0,True
2351,FC(F)(F)c1ccccc1CCOc1ccccc1Oc1ccccc1Cl,1.0,True
400,COc1cccc(Br)c1OCC1(CCc2ccccc2)CCCCC1,3.0,True
401,Cc1ccc(Oc2ccccc2I)cc1,1.0,True
1151,Cc1ccc(Br)c(C)c1Cl,0.0,True
405,COc1ccc(Oc2ccccc2I)c(C(F)(F)F)c1,1.0,True
406,CCCCOc1ccc(OCCC)c(Cl)c1,1.0,True
407,Clc1ccc(Cl)c(Oc2ncccc2Cl)c1,1.0,True
408,CC(C)Oc1cc(OC(F)F)ccc1Cl,1.0,True
409,Brc1cccc(Br)c1OCc1ccccc1,0.0,True
410,Clc1cccc(C=CCOc2ccccc2Br)c1,1.0,True
411,COc1cccc(Cl)c1OC(C)(C)C,1.0,True
412,FC(F)(F)Oc1c(Cl)cccc1C1CCCCC1,1.0,True
413,Clc1ccccc1Oc1ccccc1OCCCCc1ccccc1,1.0,True
2165,COc1ccccc1OCc1ccccc1Br,0.0,True
416,Cc1cccc(N2CCN(CCOc3ccccc3I)CC2)c1,1.0,True
417,COc1ccc(Br)c(F)c1OC(F)(F)F,1.0,True
1884,Ic1ccccc1OCCC1CCCCC1,0.0,True
419,CCCCOc1cccc(Br)c1-c1ccccc1,1.0,True
421,Cc1ccc(F)c(Oc2ccccc2I)c1,1.0,True
422,Fc1cccc(Cl)c1Oc1ccccc1I,1.0,True
423,FC(F)Oc1cccc(Br)c1OCCCc1ccccc1,1.0,True
424,Clc1ccc(Oc2ncccc2Cl)c(Cl)c1,1.0,True
425,FC(F)(F)c1cccc(Oc2ccccc2Cl)c1,1.0,True
426,COc1ccccc1COc1ccc(Oc2ccccc2I)cc1,1.0,True
427,CCCCOc1c(I)cccc1C(F)(F)F,1.0,True
428,COc1cccc(I)c1NC1CCCCCC1,1.0,True
429,Cc1c(O)cccc1-c1ncccc1Cl,1.0,True
431,COc1ccc(F)c(Oc2ccccc2Cl)c1,1.0,True
432,COc1ccc(OC)c(COc2ccccc2Cl)c1,1.0,True
433,CCc1c(OC)ccc(Br)c1Cl,1.0,True
434,COc1c(Cl)cccc1Cl,0.0,True
435,FC(F)(F)COc1cc(Cl)ccc1Cl,1.0,True
436,COc1ccccc1I,0.0,True
437,CC(C)c1ccccc1I,0.0,True
5214,COc1ccc(Br)c(OC)c1O,0.0,True
440,Cc1cccc(CCOc2c(O)cccc2Br)c1,1.0,True
441,Oc1ccc(OCC=Cc2cccc(F)c2)c(Oc2ccccc2I)c1,3.0,True
442,Clc1cnccc1COc1ccccc1,1.0,True
443,CCCOc1cc(Oc2ccccc2Br)ccc1Cc1ccccc1Cl,2.0,True
444,Cc1ccc(F)cc1Oc1ccccc1Cl,1.0,True
445,O=[N+]([O-])c1cccc(Br)c1OC(F)(F)F,0.0,True
446,CC1CCC(COc2ccccc2Br)CN1,1.0,True
447,Fc1ccc(CCCCOc2ccccc2I)cc1,1.0,True
448,FC(F)(F)c1cccc(I)c1Br,0.0,True
4457,CCOc1c(N)cccc1Cl,0.0,True
450,FC(F)(F)c1ccc(Oc2cccnc2)c(Br)c1,1.0,True
451,COc1ccc(Oc2ccccc2Cl)c(C)c1,1.0,True
